TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
A09829,99840785,5316,STC 20092; ESTC S105055,Free,"Polo, Marco, 1254-1323?; Frampton, John, fl. 1577-1596.",1579,"The most noble and famous trauels of Marcus Paulus, one of the nobilitie of the state of Venice, into the east partes of the world, as Armenia, Persia, Arabia, Tartary, with many other kingdoms and prouinces. No lesse pleasant, than profitable, as appeareth by the table, or contents of this booke. Most necessary for all sortes of persons, and especially tor trauellers. Translated into English; Travels of Marco Polo. English",Voyages and travels -- Early works to 1800.; Mongols -- History -- Early works to 1800.; Asia -- Description and travels -- Early works to 1800.,196
A10550,38160688,29294,STC 20822.5; ESTC S5124,Free,"Records, Charles.",1632,"A mostpleasant [sic] dialogue, or, A merry greeting betweene two louers how Will and Nan did fall at strife, and at the last, made man and wife : to the tune of Lusina / [by] C.R.","Ballads, English -- 17th century.; Broadsides -- London (England) -- 17th century.",1
A12471,99847166,12189,STC 22796; ESTC S111906,Free,"Smith, John, 1580-1631.; Cecil, Thomas, fl. 1630, engraver.",1630,"The true travels, adventures, and observations of Captaine Iohn Smith, in Europe, Asia, Affrica, and America, from anno Domini 1593. to 1629 His accidents and sea-fights in the straights; his service and stratagems of warre in Hungaria, Transilvania, Wallachia, and Moldavia, against the Turks, and Tartars ... After how he was taken prisoner by the Turks, sold for a slave ... and escaped ... Together with a continuation of his generall History of Virginia, Summer-Iles, New England, and their proceedings, since 1624. to this present 1629; as also of the new plantations of the great river of the Amazons, the iles of St. Christopher, Mevis, and Barbados in the West Indies. All written by actuall authours, whose names you shall finde along the history.",Voyages and travels -- Early works to 1800.,79
A14850,99837637,1974,STC 25152; ESTC S101834,Free,"Webbe, Edward, b. 1553 or 4.",1590,"The rare and most vvonderfull things vvhich Edvv. VVebbe an Englishman borne, hath seene and passed in his troublesome trauailes in the cities of Ierusalem, Damasko, Bethlehem and Galely and in the landes of Iewrie, Egypt, Gracia, Russia, and Prester Iohn, vvherein is set forth his extreame slauery sustained many yeeres together in the gallies and warres of the great Turke, against the lands of Persia, Tartaria, Spaine, and Portugale.; Rare and most wonderfull things which Edward Webbe hath seene and passed.",Voyages and travels -- Early works to 1800.; Middle East -- Description and travel -- Early works to 1800.; Soviet Union -- Description and travel -- Early works to 1800.,30
A16711,99857551,23305,STC 3611; ESTC S122400,Free,"Brereton, John, 1572-ca. 1619.; Hayes, Edward, fl. 1602.",1602,"A briefe and true relation of the discouerie of the north part of Virginia being a most pleasant, fruitfull and commodious soile: made this present yeere 1602, by Captaine Bartholomew Gosnold, Captaine Bartholowmew [sic] Gilbert, and diuers other gentlemen their associats, by the permission of the honourable knight, Sir Walter Ralegh, &c. Written by M. Iohn Brereton one of the voyage. Whereunto is annexed a treatise, of M. Edward Hayes, conteining important inducements for the planting in those parts, and finding a passage that way to the South sea, and China.","Gosnold, Bartholomew, d. 1607.; Gilbert, Bartholomew.; Virginia -- Description and travel -- Early works to 1800.; America -- Discovery and exploration -- English -- Early works to 1800.",49
A16998,99854321,19735,STC 3879; ESTC S119114,Free,"Broughton, Hugh, 1549-1612.",1605,"Positions of the vvord Hades that it is the generall place of soules: and holdeth as vvell the godly vvhich are in paradise, as the vvicked that are in Tartarus. With a catalogue of our heresies, from which one word handled by a right Grecian would haue saued vs. To the BB. of England. By Hugh Broughton 1605.",Future life -- Early works to 1800.; Hell -- Early works to 1800.,17
A18616,99852131,17438,STC 5141; ESTC S116916,Free,"Nicholas, Thomas, b. ca. 1532, attributed name.",1577,"The strange and marueilous newes lately come from the great kingdome of Chyna which adioyneth to the East Indya. Translated out of the Castlyn tongue, by T.N.",China -- Description and travel -- Early works to 1800.,14
A19712,99844804,9649,STC 6129; ESTC S109154,Free,"Curione, Celio Augustino, 1538-1567.; Newton, Thomas, 1542?-1607.",1575,"A notable historie of the Saracens Briefly and faithfully descrybing the originall beginning, continuaunce and successe aswell of the Saracens, as also of Turkes, Souldans, Mamalukes, Assassines, Tartarians and Sophians. With a discourse of their affaires and actes from the byrthe of Mahomet their first péeuish prophet and founder for 700 yéeres space. VVhereunto is annexed a compendious chronycle of all their yeerely exploytes, from the sayde Mahomets time tyll this present yeere of grace. 1575. Drawn out of Augustine Curio and sundry other good authours by Thomas Newton.; Sarracenicae historiae libri tres. English",Islamic Empire -- History -- Early works to 1800.; Turkey -- History -- Early works to 1800.,282
A19942,99840934,5478,STC 6372; ESTC S105205,Free,"Davis, John, 1550?-1605.",1595,"The vvorldes hydrographical discription Wherein is proued not onely by aucthoritie of writers, but also by late experience of trauellers and reasons of substantiall probabilitie. that the worlde in all his zones clymats and places, is habitable and inhabited, and the seas likewise vniuersally nauigable ... whereby appeares that from England there is a short and speedie passage into the South Seas, to China, Molucca, Phillipina, and India, by northely nauigation ... Published by I. Dauis of Sandrudg by Dartmouth in the countie of Deuon. Gentleman. Anno 1595. May 27.",Northwest Passage -- Early works to 1800.,50
A20049,99857222,22913,STC 649; ESTC S122069,Free,"Anghiera, Pietro Martire d', 1457-1526.; Eden, Richard, 1521?-1576.; Willes, Richard, fl. 1558-1573.",1577,"The history of trauayle in the VVest and East Indies, and other countreys lying eyther way, towardes the fruitfull and ryche Moluccaes As Moscouia, Persia, Arabia, Syria, Ægypte, Ethiopia, Guinea, China in Cathayo, and Giapan: vvith a discourse of the Northwest passage. Gathered in parte, and done into Englyshe by Richarde Eden. Newly set in order, augmented, and finished by Richarde VVilles.; De orbe novo. Decade 1-3. English",Voyages and travels -- Early works to 1800.; America -- Discovery and exploration -- Early works to 1800.,966
A25209,7869782,40213,Wing A2911; ESTC R23666,Free,"Alsop, Vincent, 1629 or 30-1703.",1696,"A sermon upon the wonderful deliverance by His Majesty from assassination, the nation from invasion by Vin. Alsop.","Sermons, English -- 17th century.",39
A25872,12269696,58191,Wing A3755; ESTC R4588,Free,"Rookwood, Ambrose, 1664-1696, defendant.",1696,"The arraignment, tryal, and condemnation of Ambrose Rookwood, for the horrid and execrable conspiracy to assassinate His Sacred Majesty King William, in order to a French invasion of this kingdom who upon full evidence was found guilty of high treason before His Majesty's justices of Oyer and Terminer, at Westminster on Tuesday the 21st of April 1696, and received sentence the day following, and was executed at Tyburn on the 29th day of the said month : in which tryal is contained all the learned arguments of the King's council and likewise the council for the prisoner, upon the new act of Parliament for regulating tryals in cases of treason.","William -- III, -- King of England, 1650-1702.; Rookwood, Ambrose, 1664-1696 -- Trials, litigation, etc.; Trials (Treason) -- England.",80
A25882,12728894,66404,Wing A3767; ESTC R18124,Free,"Cranburne, Charles, d. 1696.; Lowick, Robert, d. 1696.",1696,"The arraignments, tryals and condemnations of Charles Cranburne and Robert Lowick for the horrid and execrable conspiracy to assassinate His Sacred Majesty King William in order to a French invasion of this kingdom who upon full evidence were found guilty of high-treason before His Majesty's justices of Oyer and Terminer at Westminster, and received sentence the 22d. of April, 1696, and were executed at Tyburn the 29th of the said month : in which tryals are contained all the learned arguments of the King's councel, and likewise the councel for the prisoners, upon the new act of Parliament for regulating tryals in cases of treason.","Cranburne, Charles, d. 1696 -- Trials, litigation, etc.; Lowick, Robert, d. 1696 -- Trials, litigation, etc.; William -- III, -- King of England, 1650-1702.",76
A26058,7869634,40182,Wing A4026; ESTC R23635,Free,"Assheton, William, 1641-1711.",1683,"The cry of royal innocent blood heard and answered being a true and impartial account of Gods extraordinary and signal judgments upon regicides : with an historical relation of the deposing, murthering, and assasinating of several kings of England, Scotland, France, &c. ...",Regicides.,143
A26262,13619302,100819,Wing A4275; ESTC R16481,Free,"Avril, Philippe, 1654-1698.; Hakluyt, Richard, 1552?-1616.; Purchas, Samuel, 1577?-1626.",1693,"Travels into divers parts of Europe and Asia, undertaken by the French King's order to discover a new way by land into China containing many curious remarks in natural philosophy, geography, hydrology and history : together with a description of Great Tartary and of the different people who inhabit there / by Father Avril of the Order of the Jesuits ; done out of French ; to which is added, A supplement extracted from Hakluyt and Purchas giving an account of several journeys over land from Russia, Persia, and the Moguls country to China, together with the roads and distances of the places.; Voyage en divers états d'Europe et d'Asie. English",Middle East -- Description and travel.; Asia -- Description and travel.; Europe -- Description and travel.; Europe -- Description and travel -- Early works to 1800.; China -- Description and travel.,421
A26368,11846474,49849,Wing A52; ESTC R14960,Free,"Abbadie, Jacques, 1654-1727.",1696,"The history of the late conspiracy against the king and the nation with a particular account of the Lancashire Plot, and all the other attempts and machinations of the disaffected party since His Majesty's accession to the throne / extracted out of the original informations of the witnesses and other authentick papers.; Histoire de la dernière conspiration d'Angleterre. English","Lancashire Plot, 1689-1694.; Great Britain -- History -- William and Mary, 1689-1702.",198
A26841,11709657,48275,Wing B1165; ESTC R13758,Free,"Baudier, Michel, 1589?-1645.",1682,The history of the court of the king of China out of French.; Histoire de la cour du roy de la Chine. English,China -- Social life and customs.; China -- Court and courtiers.,119
A27548,17762428,106601,Wing B207B; ESTC R38565,Free,W. B.,1693,"A dreadful account of a most terrible earthquake which lately happened in Italy wherein thirty seven great cities and towns were totally destroy'd, and one hundred and twenty thousand of men, women, and children perished, 8c. : in a letter / from the consul of Messina's secretary.",Earthquakes -- Italy.; Natural disasters -- Italy.; Italy -- History -- 17th century.,1
A27814,13960012,102068,Wing B244; ESTC R34189,Free,,1680,"Babel and Bethel, or, The Pope in his colours the Church of Englands supplication to His Majesty our gracious Sovereign, the true defender of the faith, to protect her from all the machinations of Rome and its bloody emissaries.",Anti-Catholicism -- England.,1
A28906,12258607,57676,Wing B3861; ESTC R19507,Free,"Bouvet, Joachim, 1656-1730.; Crull, J. (Jodocus), d. 1713?",1699,"The history of Cang-Hy, the present emperour of China pesented [sic] to the Most Christian King / by Father J. Bouvet, of the Society of Jesus and missionary into China.; Histoire de l'empereur de la Chine. English","Kangxi, -- Emperor of China, 1654-1722.; China -- History -- Kangxi, 1662-1722.",114
A28909,9498396,43307,Wing B3865; ESTC R26546,Free,"Bovet, Richard, b. ca. 1641.",1696,"A poem humbly presented to His Most Excellent Majesty King William the Third upon his most miraculuous and happy preservation from that barbarous Jacobitish conspiracy to assassinate His Royal Person, February anno 1695 / by R.B.","William -- III, -- King of England, 1650-1702 -- Poetry.; Lancashire Plot, 1689-1694 -- Poetry.",14
A28934,26733606,109768,Wing B3919B; ESTC R43065,Free,"Boyer, P. (Pierre), 1619-ca. 1700.",1691,"The Negotiations of the embassadors sent to the Duke of Savoy by the Protestant Swiss-Cantons, in favour of the distressed Vaudois wherein there are many things very curious, and some letters never before published / translated out of French.",Waldenses -- Early works to 1800.; Savoy (France and Italy) -- History -- Early works to 1800.,171
A29216,10802917,45971,Wing B4246; ESTC R29054,Free,"Brand, Adam, d. 1713.; Ludolf, Heinrich Wilhelm, 1655-1710. Curious observations concerning the products of Russia.",1698,"A journal of the embassy from their Majesties John and Peter Alexievitz, emperors of Muscovy &c. over land into China through the provinces of Ustiugha, Siberia, Dauri, and the great Tartary to Peking the capital city of the Chinese empire by Everard Isbrand, their ambassador in the years 1693, 1694, and 1695 written by Adam Brand, secretary of the embassy ; translated from the original High-Dutch printed in Hamburgh, 1698 ; to which is added Curious observations concerning the products of Russia by H.W. Ludolf.; Beschreibung der Chinesischen Reise. English","Ides, Evert Ysbrants.; Natural history -- Soviet Union -- Pre-Linnean works.; Asia -- Description and travel.; China -- Description and travel.",152
A30495,16263806,105165,Wing B5962; ESTC R37171,Free,"Burnett, Andrew, minister of the Gospel.",1696,"A sermon preach'd at Barbican upon the sixteenth of April, 1696 being a day of thanksgiving unto Almighty God for discovering and disappointing an horrid and barbarous conspiracy of papists and other traiterous persons to assassinate and murder His Most Gracious Majesty's royal person, and for delivering this kingdom from an invasion intended by the French / by Andrew Burnett ...","Bible. -- O.T. -- Micah VII, 15-17 -- Sermons.; Sermons, English -- 17th century.; Great Britain -- History -- William and Mary, 1689-1702 -- Sermons.",25
A32797,11742071,48502,Wing C3800; ESTC R17946,Free,"Chevalier, Pierre, 17th cent.; Brown, Edward, 1644-1708.",1672,"A discourse of the original, countrey, manners, government and religion of the Cossacks with another of the Precopian Tartars : and the history of the wars of the Cossacks against Poland.; Histoire de la guerre des Cosaques contre la Pologne. English","Cossacks -- Early works to 1800.; Tatars -- Early works to 1800.; Poland -- History -- Elective monarchy, 1572-1763.",210
A33328,11953454,51479,Wing C4535; ESTC R3775,Free,"Clarke, Samuel, 1599-1682.",1653,"The life of Tamerlane the Great with his wars against the great Duke of Moso, the King of China, Bajazet the Great Turk, the Sultan of Egypt, the King of Persia, and some others ... : wherein are rare examples of heathenish piety, prudence, magnanimity, mercy, liberality, humility, justice, temperance, and valour.","Timur, 1336-1405.",60
A34083,13277204,98727,Wing C549; ESTC R33340,Free,"Carew, George, Esq.",1682,"Lex talionis, or, The Law of marque or reprizals fully represented in the case of spoyls and depredations upon the ships, goods and factories of Sir William Courten and his partners in the East-Indies, China and Japan : whereupon letters patents for reprizals were granted under the great seal of England to continue effectual in the law against the States General of the United Provinces and their subjects ... : together with three several proposals of the creditors, to the King, and their answer (in a postscript) to the Lord Chancellour's arguments upon the scire facias brought by Sir Robert Sawyer ... concerning the letters patents aforesaid.","Courten, William, -- Sir, 1572-1636.; Courten, William, d. 1655.; East India Company.; Great Britain -- History -- Charles II, 1660-1685.",34
A34265,12062696,53303,Wing C5806; ESTC R23060,Free,"Confucius.; Intorcetta, Prospero, 1626-1696.; Confucius. Lun yu. English. Selections. 1691.",1691,"The morals of Confucius, a Chinese philosopher who flourished above five hundred years before the coming of our Lord and Saviour Jesus Christ : being one of the most choicest pieces of learning remaining of that nation.; Confucius Sinarum philosophus. English. Selections","Philosophy, Chinese.; Ethics -- China.",160
A34451,13501814,99781,Wing C6062; Wing C6061_PARTIAL; ESTC R6283,Free,"Cooper, William, fl. 1668-1688.; Helvetius, Johann Friedrich, d. 1709. Vitulus aureus, quem mundus adorat & orat. English.; Glauber, Johann Rudolf, 1604-1670. Novum lumen chimicum. English.",1673,"The Philosophical epitaph of W.C. Esquire for a memento mori on his tomb-stone, vvith three hieroglyphical scutcheons and their philosophical motto's and explanation : with the philosophical Mercury, nature of seed and life, and growth of metalls, and a discovery of the immortal liquor alchahest : the salt of tartar volatized and other elixirs with their differences. Also, A brief of the golden calf, the worlds idol : discovering the rarest miracle in nature, ... / by Jo. Fr. Helvetius. And, The golden ass well managed and Midas restor'd to reason, or, A new chymical light : demonstrating to the blind world that good gold may be found as well in cold as hot regions, and be profitably extracted out of sand, stones, gravel and flints &c. .../ written by Jo. Rod. Glauber. With Jehior, aurora sapientiae, or, The day dawning or light of wisdom : containing the three principles or original of all things whereby are discovered the great and many mysteries of God, nature and the elements, hitherto hid, now revealed / all published by W.C. Esquire. : with a catalogue of chymical books.",Alchemy -- Early works to 1800.; Chemistry -- Bibliography.; Alchemy -- Bibliography.,261
A35221,12259661,57814,Wing C7318; ESTC R21090,Free,"R. B., 1632?-1725?",1700,"The English acquisitions in Guinea & East-India containing first, the several forts and castles of the Royal African Company, from Sally in South Barbary, to the Cape of Good Hope in Africa ... secondly, the forts and factories of the Honourable East-India Company in Persia, India, Sumatra, China, &c. ... : with an account of the inhabitants of all these countries ... : also the birds, beasts, serpents and monsters and other strange creatures found there ... : likewise, a description of the Isle of St. Helena, where the English usually refresh in their Indian voyages by R.B.",Voyages and travels.; Africa -- Description and travel.; Asia -- Description and travel.,190
A35303,11875376,50199,Wing C741; ESTC R31290,Free,"Cary, Philip.",1690,"A just reply to Mr. John Flavell's arguments by way of answer to a discourse lately published, entitled, A solemn call, &c. wherein it is further plainly proved that the covenant made with Israel on Mount Sinai, as also the covenant of circumcision made with Abraham, whereon so much stress is laid for the support of infants baptism ... : together with a reply to Mr. Joseph Whiston's reflections on the forementioned discourse, in a late small tract of his entituled, The right method for the proving of infants baptism ... / by Philip Cary ...","Flavel, John, 1630?-1691.; Cary, Philip. -- A solemn call unto all that would be owned as Christ's.; Whiston, Joseph, d. 1690. -- Right method for the proving of infant baptism.; Infant baptism.",194
A35968,12952559,95992,Wing D1426; ESTC R747,Free,"Digby, Kenelm, Sir, 1603-1665.; Hartman, G. (George)",1682,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.; Choice collection of rare secrets and experiments in philosophy","Medicine, Magic, mystic, and spagiric.; Alchemy.",294
A36106,12643424,65067,Wing D161; Wing D165; ESTC R9942,Free,"Dampier, William, 1652-1715.",1697,"A new voyage round the world describing particularly the isthmus of America, several coasts and islands in the West Indies, the isles of Cape Verd, the passage by Terra del Fuego, the South Sea coasts of Chili, Peru and Mexico, the isle of Guam one of the Ladrones, Mindanao, and other Philippine and East-India islands near Cambodia, China, Formosa, Luconia, Celebes, &c., New Holland, Sumatra, Nicobar Isles, the Cape of Good Hope, and Santa Hellena : their soil, rivers, harbours, plants, fruits, animals, and inhabitants : their customs, religion, government, trade, &c. / by William Dampier ; illustrated with particular maps and draughts.",Voyages around the world.; Voyages and travels.; Buccaneers.; Winds.; Tides.,1112
A36730,11283434,47286,Wing D242; ESTC R5629,Free,"Montanus, Arnoldus, 1625?-1683.; Dapper, Olfert, 1639-1689.; Ogilby, John, 1600-1676.; Nederlandsche Oost-Indische Compagnie.; United Provinces of the Netherlands.",1671,"Atlas Chinensis being a second part of A relation of remarkable passages in two embassies from the East-India Company of the United Provinces to the vice-roy Singlamong and General Taising Lipovi and to Konchi, Emperor of China and East-Tartary : with a relation of the Netherlanders assisting the Tarter against Coxinga and the Chinese fleet, who till then were masters of the sea : and a more exact geographical description than formerly both of the whole empire of China in general and in particular of every of the fifteen provinces / collected out of their several writings and journals by Arnoldus Montanus ; English'd and adorn'd with above a hundred several sculptures by John Ogilby.","Zheng, Chenggong, 1624-1662.; China -- Description and travel.; China -- History -- 1644-1795.",665
A37283,12256129,57510,Wing D463; ESTC R16920,Free,"Day, Henry, M.A.",1694,"A thanksgiving-sermon preach'd at Sutton in Surrey, April the 16th, 1696 being the national thanksgiving day for His Majesty's most happy preservation from the most detestable assassination, in order to a French invasion / by Henry Day ...","William -- III, -- King of England, 1650-1702.; Bible. -- O.T. -- Psalms CXXII, 6 -- Sermons.; Sermons, English -- 17th century.",30
A37401,11076976,46271,Wing D779; ESTC R29345,Free,"Milton, John, 1608-1674.",1674,"A Declaration, or, Letters patents of the election of this present King of Poland, John the Third, elected on the 22d of May last past, Anno Dom. 1674 containing the reasons of this election, the great vertues and merits of the said serene elect, his eminent services in war, especially in his last great victory against the Turks and Tartars, whereof many particulars are here related, not published before / now faithfully translated from the Latin copy by John Milton.","John -- III Sobieski, -- King of Poland, 1629-1696.; Poland -- History -- John III Sobieski, 1674-1696.; Poland -- Politics and government -- 1572-1763.",15
A37640,10051768,44474,Wing E1236; ESTC R27640,Free,"Leverett, John.; England and Wales. Parliament.",1699,Whereas there has been a horrid and detestable conspiracy formed and carried on by papists and other wicked and traiterous persons for assassinating His Majesties royal person,"William -- III, -- King of England, 1650-1702.; Great Britain -- Kings and rulers -- Succession.",1
A39038,12001881,52236,Wing E3848; ESTC R31477,Free,"Walcot, Thomas, d. 1683.; Hone, William, d. 1683.; Rouse, John, d. 1683.",1683,"The Execution and confession with the behaviour & speeches of Capt. Thomas Walcot, William Hone, and John Rouse who according to the sentence pronounced against them at the Old-Bayly, on the 12th instant, were this 20th of July, drawn, hanged and quartered for traytorously conspiring to assassinate and murther the King in his return from New-Market, and the establish'd government to subvert &c.","Rye House Plot, 1683.; Great Britain -- History -- Charles II, 1660-1685.",4
A39697,99830260,34710,Wing F1205A; ESTC R218689,Free,"Flavel, John, 1630?-1691.",1690,"Vindiciæ legis & fœderis: or, A reply to Mr. Philip Cary's Solemn call Wherein he pretends to answer all the arguments of Mr. Allen, Mr. Baxter, Mr. Sydenham, Mr. Sedgwick, Mr. Roberts, and Dr. Burthogge, for the right of believers infants to baptism, by proving the law at Sinai, and the covenant of circumcision with Abraham, were the very same with Adam's covenant of works, and that because the gospel-covenant is absolute. By John Flavel minister of the gospel in Dartmouth","Cary, Philip. -- Solemn call unto all that would be owned as Christ's faithful witnesses, speedily, and seriously, to attend unto the primitive purity of the Gospel doctrine and worship: or, A discourse concerning baptism -- Early works to 1800.; Infant baptism -- Early works to 1800.",175
A39795,12129490,54691,Wing F1333; Wing L898; ESTC R2002,Free,"Fletcher, Giles, 1549?-1611. Tartars, or, Ten tribes.; Lee, Samuel, 1625-1691.",1677,"Israel redux, or, The restauration of Israel, exhibited in two short treatises the first contains an essay upon some probable grounds, that the present Tartars near the Caspian Sea, are the posterity of the ten tribes of Israel / by Giles Fletcher ; the second, a dissertation concerning their ancient and successive state, with some Scripture evidences of their future conversion, and establishment in their own land / by S.L.",,138
A40097,12181747,55682,Wing F1724; ESTC R887,Free,"Fowler, Edward, 1632-1714.",1696,"A sermon preached before the House of Lords in the Abby-Church at Westminster, upon Thursday the sixteenth of April, 1696 being a day of publick thanksgiving to Almighty God for the most happy discovery and disappointment of a horrid design to assasinate His sacred Majesty, and for our deliverance from a French invasion / by Edward Lord Bishop of Gloucester.","Bible. -- O.T. -- Psalms LXXXVI, 12-13 -- Sermons.; Sermons, English -- 17th century.; Great Britain -- History -- William and Mary, 1689-1702 -- Sources.",42
A40439,12251553,57115,Wing F2155; ESTC R7129,Free,"Freire de Andrade, Jacinto, 1597-1657.; Wyche, Peter, Sir, 1628-1699?",1663,"The life of Dom John de Castro, the fourth vice-roy of India wherein are seen the Portuguese's voyages to the East-Indies, their discoveries and conquests there, the form of government, commerce, and discipline of warr in the east, and the topography of all India and China : containing also a particular relation of the most famous siege of Dio, with a map to illustrate it / by Jacinto Freire de Andrada, written in Portuguese ; and by Sr Peter Wyche, Kt., translated into English.; Vida de Dom João de Castro, quarto viso-rey da India. English","Castro, João de, 1500-1548.; Viceroys -- India -- Goa, Daman and Diu.; Goa, Daman and Diu (India) -- History.",319
A40887,12130993,54711,Wing F428; ESTC R2613,Free,"Faria e Sousa, Manuel de, 1590-1649.; Stevens, John, d. 1726.",1695,"The Portugues Asia, or, The history of the discovery and conquest of India by the Portugues containing all their discoveries from the coast of Africk, to the farthest parts of China and Japan, all their battels by sea and land, sieges and other memorable actions, a description of those countries, and many particulars of the religion, government and customs of the natives, &c. : in three tomes / written in Spanish by Manuel de Faria y Sousa ... ; translated into English by Cap. John Stevens.; Asia Portuguesa. English","Discoveries in geography -- Portuguese.; Portuguese -- India.; Portugal -- History -- Period of discoveries, 1385-1580.; India -- History -- 1500-1765.; East Asia -- History.",1508
